Price,year,company,name,kms_driven
3900,2013,lincoln,zephyr,209518
27995,2015,chevrolet,z71,127627
32990,2015,bmw,z4 sdrive35i roadster 2d,29995
22500,2014,bmw,z4,64880
22999,2014,bmw,z4,64880
29900,2016,bmw,z4,57122
29991,2016,bmw,z4,36780
17695,2014,gmc,yukonyukon,126000
34590,2016,gmc,yukon xl slt sport utility,72518
37990,2017,gmc,yukon xl slt sport utility,35799
38990,2017,gmc,yukon xl slt sport utility,34308
37990,2018,gmc,yukon xl slt sport utility,51725
43990,2019,gmc,yukon xl slt sport utility,41792
40590,2019,gmc,yukon xl slt sport utility,42570
42590,2019,gmc,yukon xl slt sport utility,41792
41990,2019,gmc,yukon xl slt sport utility,41792
52990,2020,gmc,yukon xl slt sport utility,8851
52990,2020,gmc,yukon xl slt sport utility,23536
53990,2020,gmc,yukon xl slt sport utility,12448
52990,2020,gmc,yukon xl slt sport utility,23979
52988,2019,gmc,yukon xl slt automatic,26270
50988,2019,gmc,yukon xl slt automatic,25420
48999,2018,gmc,yukon xl slt 4x4 gas suv,25638
44999,2019,gmc,yukon xl slt 4x4 gas suv,50924
20990,2013,gmc,yukon xl slt 4x4,103210
34994,2016,gmc,yukon xl slt 4x4,89117
32500,2017,gmc,yukon xl slt 4x4,103000
15999,2013,gmc,yukon xl slt 4wd,143431
42695,2019,gmc,yukon xl slt 4d sport utility automatic,49081
19500,2013,gmc,yukon xl slt 1500,106000
15995,2013,gmc,yukon xl slt 1500,138649
17500,2013,gmc,yukon xl slt 1500,129000
34500,2017,gmc,yukon xl slt 1500,87298
42000,2017,gmc,yukon xl slt 1500,47826
16400,2013,gmc,yukon xl slt,126500
12999,2013,gmc,yukon xl slt,185322
6500,2013,gmc,yukon xl slt,287000
20388,2014,gmc,yukon xl slt,88945
36000,2015,gmc,yukon xl slt,83000
28999,2015,gmc,yukon xl slt,117551
38998,2016,gmc,yukon xl slt,76467
38995,2016,gmc,yukon xl slt,70556
32488,2016,gmc,yukon xl slt,92941
32990,2017,gmc,yukon xl slt,91497
42500,2018,gmc,yukon xl slt,64580
650,2019,gmc,yukon xl slt,44495
43991,2019,gmc,yukon xl slt,47913
40677,2019,gmc,yukon xl slt,37464
45480,2019,gmc,yukon xl slt,44495
44998,2019,gmc,yukon xl slt,39034
15882,2015,gmc,yukon xl sle,178415
39445,2018,gmc,yukon xl sle,43784
43499,2020,gmc,yukon xl sle,11434
46990,2017,gmc,yukon xl denali sport,62277
43990,2017,gmc,yukon xl denali sport,77656
45590,2017,gmc,yukon xl denali sport,62277
47990,2018,gmc,yukon xl denali sport,68976
49990,2019,gmc,yukon xl denali sport,64541
54990,2019,gmc,yukon xl denali sport,39438
19700,2014,gmc,yukon xl denali awd,149182
61999,2019,gmc,yukon xl denali 4x4 gas suv,19845
47495,2017,gmc,yukon xl denali 4x4 4dr suv,51031
47995,2017,gmc,yukon xl denali 4x4 4dr suv,51031
43995,2016,gmc,yukon xl denali 4x4,66808
55116,2019,gmc,yukon xl denali 4wd,47633
40491,2016,gmc,yukon xl denali 4d sport utility automatic,80480
42499,2017,gmc,yukon xl denali 2wd,70571
18995,2013,gmc,yukon xl denali,146043
16900,2013,gmc,yukon xl denali,147359
19999,2013,gmc,yukon xl denali,150338
17000,2013,gmc,yukon xl denali,138000
22900,2014,gmc,yukon xl denali,130298
20990,2014,gmc,yukon xl denali,155302
28500,2014,gmc,yukon xl denali,79500
39000,2015,gmc,yukon xl denali,84500
28000,2015,gmc,yukon xl denali,158148
28995,2015,gmc,yukon xl denali,120936
38995,2015,gmc,yukon xl denali,69827
34500,2015,gmc,yukon xl denali,76452
35000,2015,gmc,yukon xl denali,86400
668,2015,gmc,yukon xl denali,63621
32500,2015,gmc,yukon xl denali,38156
31500,2015,gmc,yukon xl denali,114254
41490,2016,gmc,yukon xl denali,71873
59500,2016,gmc,yukon xl denali,15124
43000,2016,gmc,yukon xl denali,55000
40400,2016,gmc,yukon xl denali,80900
35995,2016,gmc,yukon xl denali,109680
38500,2016,gmc,yukon xl denali,71000
612,2016,gmc,yukon xl denali,78527
41995,2016,gmc,yukon xl denali,82200
43495,2017,gmc,yukon xl denali,68604
36995,2017,gmc,yukon xl denali,114000
45897,2017,gmc,yukon xl denali,84832
714,2018,gmc,yukon xl denali,34365
54722,2018,gmc,yukon xl denali,33639
51950,2018,gmc,yukon xl denali,43949
49900,2018,gmc,yukon xl denali,51250
50950,2018,gmc,yukon xl denali,43949
50950,2018,gmc,yukon xl denali,43547
62800,2019,gmc,yukon xl denali,20525
33995,2015,gmc,yukon xl 4x4,87941
66999,2020,gmc,yukon xl 4wd 4dr denali,14046
55999,2020,gmc,yukon xl 2wd 4dr denali,29474
31995,2017,gmc,yukon xl 1500 slt,97027
25000,2015,gmc,yukon xl 1500 sle,112592
21995,2013,gmc,yukon xl 1500,112198
16900,2014,gmc,yukon xl 1500,124189
13995,2014,gmc,yukon xl 1500,181544
32466,2015,gmc,yukon xl 1500,99990
23962,2015,gmc,yukon xl 1500,162622
18000,2013,gmc,yukon xl,89500
19999,2013,gmc,yukon xl,157000
8500,2013,gmc,yukon xl,231000
24995,2013,gmc,yukon xl,91500
15995,2013,gmc,yukon xl,151427
14850,2013,gmc,yukon xl,156000
12800,2013,gmc,yukon xl,148000
19981,2013,gmc,yukon xl,131567
7800,2013,gmc,yukon xl,336706
6500,2013,gmc,yukon xl,287000
7499,2013,gmc,yukon xl,195000
16990,2013,gmc,yukon xl,138748
17995,2013,gmc,yukon xl,89544
19000,2014,gmc,yukon xl,120352
19888,2014,gmc,yukon xl,125811
20995,2014,gmc,yukon xl,107815
18488,2014,gmc,yukon xl,136519
26850,2014,gmc,yukon xl,111362
19631,2014,gmc,yukon xl,125811
20375,2014,gmc,yukon xl,146068
16500,2014,gmc,yukon xl,149300
21500,2014,gmc,yukon xl,104000
14489,2014,gmc,yukon xl,180677
5500,2014,gmc,yukon xl,353200
25250,2014,gmc,yukon xl,98925
20994,2014,gmc,yukon xl,93687
39900,2015,gmc,yukon xl,77850
34995,2015,gmc,yukon xl,106251
38995,2015,gmc,yukon xl,43775
38973,2015,gmc,yukon xl,73667
32000,2015,gmc,yukon xl,104000
38900,2015,gmc,yukon xl,74676
29000,2015,gmc,yukon xl,118500
29995,2015,gmc,yukon xl,136190
29998,2015,gmc,yukon xl,128161
32988,2015,gmc,yukon xl,109000
28500,2015,gmc,yukon xl,115000
668,2015,gmc,yukon xl,63621
35480,2015,gmc,yukon xl,91712
29995,2015,gmc,yukon xl,122000
28500,2015,gmc,yukon xl,106096
32399,2015,gmc,yukon xl,60551
28995,2015,gmc,yukon xl,100933
27995,2015,gmc,yukon xl,98459
28995,2015,gmc,yukon xl,111436
28488,2015,gmc,yukon xl,152096
33337,2015,gmc,yukon xl,87103
35988,2015,gmc,yukon xl,80867
27500,2015,gmc,yukon xl,139418
33950,2015,gmc,yukon xl,73000
29788,2015,gmc,yukon xl,72842
24995,2015,gmc,yukon xl,144588
28755,2015,gmc,yukon xl,111125
33800,2015,gmc,yukon xl,111033
31998,2015,gmc,yukon xl,128161
37988,2015,gmc,yukon xl,80867
29974,2015,gmc,yukon xl,101626
